year;month;incident;tour,value
2016;Januar;Verkehrsüberlastung;Linie 6,7
2016;Januar;Verkehrsunfall;Linie 6,1
2016;Februar;Bauarbeiten;Linie 6,1
2016;Februar;Betriebsstörung;Linie 6,5
2016;Februar;Fahrzeugpanne;Linie 6,7
2016;Februar;Kundgebung/Veranstalt.;Linie 6,3
2016;Februar;Verspätungen Allgemein;Linie 6,2
2016;März;Betriebsstörung;Linie 6,2
2016;März;Fahrzeugpanne;Linie 6,1
2016;März;Sonstige Störungen;Linie 6,1
2016;März;Unregelm. Betr. u. Uml.;Linie 6,1
2016;März;Verkehrsunfall;Linie 6,1
2016;Januar;Betriebsstörung;Linie 7,1
2016;Januar;Fahrzeugpanne;Linie 7,3
2016;Januar;Kundgebung/Veranstalt.;Linie 7,1
2016;Januar;Verkehrsüberlastung;Linie 7,1
2016;Februar;Bauarbeiten;Linie 7,1
2016;Februar;Betriebsstörung;Linie 7,5
2016;Februar;Fahrzeugpanne;Linie 7,2
2016;Februar;Kundgebung/Veranstalt.;Linie 7,3
2016;Februar;Schneefall/Eis;Linie 7,1
2016;März;Betriebsstörung;Linie 7,3
2016;März;Fahrzeugpanne;Linie 7,1
2016;März;Unregelm. Betr. u. Uml.;Linie 7,1
2016;März;Verkehrsunfall;Linie 7,2
2016;Januar;Betriebsstörung;Linie 8,1
2016;Januar;Fahrzeugpanne;Linie 8,3
2016;Januar;Kundgebung/Veranstalt.;Linie 8,1
2016;Januar;Verkehrsüberlastung;Linie 8,2
2016;Februar;Bauarbeiten;Linie 8,1
2016;Februar;Betriebsstörung;Linie 8,6
2016;Februar;Fahrzeugpanne;Linie 8,2
2016;Februar;Kundgebung/Veranstalt.;Linie 8,3
2016;Februar;Schneefall/Eis;Linie 8,1
2016;Februar;Verspätungen Allgemein;Linie 8,1
2016;März;Betriebsstörung;Linie 8,2
2016;März;Fahrzeugpanne;Linie 8,1
2016;März;Unregelm. Betr. u. Uml.;Linie 8,1
2016;März;Verkehrsunfall;Linie 8,1
2016;Januar;Betriebsstörung;Linie 9,1
2016;Januar;Fahrzeugpanne;Linie 9,2
2016;Januar;Kundgebung/Veranstalt.;Linie 9,1
2016;Januar;Verkehrsüberlastung;Linie 9,1
2016;Januar;Verspätungen Allgemein;Linie 9,3
2016;Februar;Betriebsstörung;Linie 9,4
2016;Februar;Fahrzeugpanne;Linie 9,1
2016;Februar;Kundgebung/Veranstalt.;Linie 9,7
2016;Februar;Verkehrsüberlastung;Linie 9,1
2016;Februar;Verkehrsunfall;Linie 9,1
2016;März;Fahrzeugpanne;Linie 9,1
2016;März;Kundgebung/Veranstalt.;Linie 9,2
2016;März;Unregelm. Betr. u. Uml.;Linie 9,1
2016;Januar;Kundgebung/Veranstalt.;Linie 10,1
2016;Januar;Schneefall/Eis;Linie 10,1
2016;Januar;Unregelm. Betr. u. Uml.;Linie 10,1
2016;Januar;Verkehrsüberlastung;Linie 10,1
2016;Februar;Betriebsstörung;Linie 10,1
2016;Februar;Kundgebung/Veranstalt.;Linie 10,10
2016;Februar;Verkehrsüberlastung;Linie 10,1
2016;Februar;Verkehrsunfall;Linie 10,1
2016;Januar;Verkehrsbehinderung;Linie 11,1
2016;Januar;Verkehrsunfall;Linie 11,1
2016;Februar;Fahrzeugpanne;Linie 11,1
2016;Februar;Kundgebung/Veranstalt.;Linie 11,1
2016;März;Fahrzeugpanne;Linie 11,1
2016;März;Blaulichtorganisationen;Linie 11,1
2016;Januar;Fahrzeugpanne;Linie 12,1
2016;Januar;Kundgebung/Veranstalt.;Linie 12,1
2016;Januar;Schneefall/Eis;Linie 12,2
2016;Februar;Betriebsstörung;Linie 12,2
2016;Februar;Fahrzeugpanne;Linie 12,1
2016;Februar;Kundgebung/Veranstalt.;Linie 12,4
2016;Februar;Verkehrsunfall;Linie 12,1
2016;März;Fahrzeugpanne;Linie 12,1
2016;März;Verspätungen Allgemein;Linie 12,1
2016;Januar;Fahrzeugpanne;Linie 16,1
2016;Februar;Unregelm. Betr. u. Uml.;Linie 17,1
2016;Januar;Fahrzeugpanne;Linie 19,1
2016;Januar;Kundgebung/Veranstalt.;Linie 19,1
2016;Januar;Unregelm. Betr. u. Uml.;Linie 19,1
2016;Januar;Verkehrsüberlastung;Linie 19,3
2016;Februar;Bauarbeiten;Linie 19,1
2016;Februar;Betriebsstörung;Linie 19,1
2016;Februar;Fahrzeugpanne;Linie 19,1
2016;Februar;Kundgebung/Veranstalt.;Linie 19,9
2016;Januar;Verkehrsüberlastung;Linie 20,1
2016;Januar;Verkehrsunfall;Linie 20,1
2016;Februar;Kundgebung/Veranstalt.;Linie 20,3
2016;Februar;Verkehrsüberlastung;Linie 20,2
2016;März;Kundgebung/Veranstalt.;Linie 20,1
2016;Januar;Verkehrsbehinderung;Linie 21,1
2016;Februar;Kundgebung/Veranstalt.;Linie 21,1
2016;März;Blaulichtorganisationen;Linie 21,1
2016;Januar;Fahrzeugpanne;Linie 26,1
2016;Januar;Fahrzeugpanne;Linie 27,1
2016;Januar;Blaulichtorganisationen;Linie 27,1
2016;März;Verkehrsunfall;Linie 27,1
2016;Januar;Verkehrsbehinderung;Linie 28,1
2016;Januar;Verkehrsüberlastung;Linie 28,5
2016;Februar;Bauarbeiten;Linie 28,1
2016;Februar;Kundgebung/Veranstalt.;Linie 28,2
2016;Februar;Verkehrsüberlastung;Linie 28,2
2016;Januar;Verkehrsunfall;Linie 29,2
2016;Februar;Bauarbeiten;Linie 29,1
2016;Februar;Fahrzeugpanne;Linie 29,2
2016;März;Bauarbeiten;Linie 29,1
2016;Februar;Kundgebung/Veranstalt.;Linie 30,1
2016;Januar;Betriebsstörung;Linie 31,1
2016;Februar;Blaulichtorganisationen;Linie 31,1
