vorfall,id,wochentag,dauer,kategorie,jahr,monat,datum,linie,vorfall_text,stoerungsart,meldung,start,ende,linienbezeichnung
Kundgebung_oder_Veranstaltung,127,Samstag,285,medium,2015,2,21.02.15,9,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Wabern - Wankdorf Bahnhof
Kundgebung_oder_Veranstaltung,128,Samstag,285,medium,2015,2,21.02.15,10,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Köniz Schliern - Ostermundigen Rüti
Kundgebung_oder_Veranstaltung,129,Samstag,285,medium,2015,2,21.02.15,12,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Längasse - Zentrum Paul Klee
Kundgebung_oder_Veranstaltung,130,Samstag,285,medium,2015,2,21.02.15,19,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Blinzern - Elfenau
Kundgebung_oder_Veranstaltung,131,Samstag,285,medium,2015,2,21.02.15,8,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Brünnen Westside Bahnhof - Saali
Kundgebung_oder_Veranstaltung,132,Samstag,285,medium,2015,2,21.02.15,9,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Wabern - Wankdorf Bahnhof
Kundgebung_oder_Veranstaltung,133,Samstag,285,medium,2015,2,21.02.15,12,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 7 8 9 10 12 19 und 30 ist infolge des Baerner Fasnachtumzuges mit weitraeumigen Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 13:31,21.02.15 18:16,Längasse - Zentrum Paul Klee
Verkehrsbehinderung,134,Samstag,4,verylow,2015,2,21.02.15,9,Verkehrsbehinderung,Stoerung,Auf den Linien 9 10 12 und 30 ist infolge der Sperrung des Kornhausplatzes und der Altstadt mit Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 18:01,21.02.15 18:05,Wabern - Wankdorf Bahnhof
Verkehrsbehinderung,135,Samstag,4,verylow,2015,2,21.02.15,10,Verkehrsbehinderung,Stoerung,Auf den Linien 9 10 12 und 30 ist infolge der Sperrung des Kornhausplatzes und der Altstadt mit Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 18:01,21.02.15 18:05,Köniz Schliern - Ostermundigen Rüti
Verkehrsbehinderung,136,Samstag,4,verylow,2015,2,21.02.15,12,Verkehrsbehinderung,Stoerung,Auf den Linien 9 10 12 und 30 ist infolge der Sperrung des Kornhausplatzes und der Altstadt mit Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 18:01,21.02.15 18:05,Längasse - Zentrum Paul Klee
